"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['housemaid', 'single', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'other']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['housemaid', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'divorced', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'yes', 'telephone', 'jul', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['housemaid', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['services', 'single', 'primary', 'no', 'yes', 'yes', 'cellular', 'nov', 'unknown']"
"['services', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['entrepreneur', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
