job,marital,education,default,housing,loan,contact,month,poutcome
admin,married,secondary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,no,no,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
admin,married,tertiary,no,no,no,unknown,may,unknown
management,single,tertiary,no,yes,yes,unknown,may,unknown
management,married,tertiary,no,yes,yes,unknown,may,unknown
retired,divorced,secondary,no,yes,no,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
services,single,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,yes,yes,unknown,may,unknown
blue-collar,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,tertiary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
blue-collar,single,primary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
admin,divorced,secondary,no,yes,yes,unknown,may,unknown
admin,divorced,secondary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
unemployed,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
technician,single,tertiary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,yes,yes,no,unknown,may,unknown
technician,married,primary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,no,no,unknown,may,unknown
blue-collar,married,primary,no,no,no,unknown,may,unknown
management,divorced,secondary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,yes,no,unknown,may,unknown
entrepreneur,single,primary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,yes,unknown,may,unknown
management,married,tertiary,no,yes,no,unknown,may,unknown
entrepreneur,divorced,tertiary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
management,married,unknown,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
